"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"01/04/2021","20,26","20,42","0,99","20,03","21,00","881,43M"
"01/04/2021","20,26","20,42","0,99","20,03","21,00","881,43M"
"31/03/2021","20,14","20,22","0,90","19,65","20,44","726,24M"
"31/03/2021","20,14","20,22","0,90","19,65","20,44","726,24M"
"30/03/2021","19,47","20,04","2,09","19,40","20,30","714,55M"
"30/03/2021","19,47","20,04","2,09","19,40","20,30","714,55M"
"29/03/2021","19,91","19,63","-1,65","19,38","20,03","808,32M"
"29/03/2021","19,91","19,63","-1,65","19,38","20,03","808,32M"
"26/03/2021","20,38","19,96","-1,58","19,68","20,68","1,01B"
"26/03/2021","20,38","19,96","-1,58","19,68","20,68","1,01B"
"25/03/2021","20,03","20,28","-0,34","19,95","20,95","993,45M"
"25/03/2021","20,03","20,28","-0,34","19,95","20,95","993,45M"
"24/03/2021","21,46","20,35","-5,30","20,19","21,49","1,23B"
"24/03/2021","21,46","20,35","-5,30","20,19","21,49","1,23B"
"23/03/2021","21,78","21,49","-1,83","21,33","22,01","665,53M"
"23/03/2021","21,78","21,49","-1,83","21,33","22,01","665,53M"
"22/03/2021","22,38","21,89","-1,70","21,43","22,71","1,01B"
"22/03/2021","22,38","21,89","-1,70","21,43","22,71","1,01B"
"19/03/2021","22,46","22,27","0,04","22,01","22,63","1,41B"
"19/03/2021","22,46","22,27","0,04","22,01","22,63","1,41B"
"18/03/2021","23,74","22,26","-6,93","22,05","23,83","1,22B"
"18/03/2021","23,74","22,26","-6,93","22,05","23,83","1,22B"
"17/03/2021","23,84","23,92","-0,87","23,39","24,03","840,60M"
"17/03/2021","23,84","23,92","-0,87","23,39","24,03","840,60M"
"16/03/2021","23,80","24,13","1,81","23,58","24,37","912,31M"
"16/03/2021","23,80","24,13","1,81","23,58","24,37","912,31M"
"15/03/2021","24,33","23,70","-3,46","23,53","24,74","1,79B"
"15/03/2021","24,33","23,70","-3,46","23,53","24,74","1,79B"
"12/03/2021","24,58","24,55","-0,93","24,25","24,88","600,82M"
"12/03/2021","24,58","24,55","-0,93","24,25","24,88","600,82M"
"11/03/2021","25,05","24,78","-0,40","24,44","25,06","756,10M"
"11/03/2021","25,05","24,78","-0,40","24,44","25,06","756,10M"
"10/03/2021","23,73","24,88","6,46","23,45","25,07","1,02B"
"10/03/2021","23,73","24,88","6,46","23,45","25,07","1,02B"
"09/03/2021","23,53","23,37","1,26","23,29","23,95","1,74B"
"09/03/2021","23,53","23,37","1,26","23,29","23,95","1,74B"
"08/03/2021","24,67","23,08","-8,08","23,08","24,75","1,97B"
"08/03/2021","24,67","23,08","-8,08","23,08","24,75","1,97B"
"05/03/2021","25,17","25,11","-1,22","24,54","25,32","1,15B"
"05/03/2021","25,17","25,11","-1,22","24,54","25,32","1,15B"
"04/03/2021","25,09","25,42","1,27","24,86","25,68","1,03B"
"04/03/2021","25,09","25,42","1,27","24,86","25,68","1,03B"
"03/03/2021","24,51","25,10","3,50","23,48","25,26","1,14B"
"03/03/2021","24,51","25,10","3,50","23,48","25,26","1,14B"
"02/03/2021","24,27","24,25","-1,14","23,57","24,58","852,19M"
"02/03/2021","24,27","24,25","-1,14","23,57","24,58","852,19M"
"01/03/2021","24,54","24,53","1,53","24,15","24,98","544,86M"
"01/03/2021","24,54","24,53","1,53","24,15","24,98","544,86M"
"26/02/2021","24,06","24,16","0,50","23,96","24,94","1,11B"
"26/02/2021","24,06","24,16","0,50","23,96","24,94","1,11B"
"25/02/2021","24,57","24,04","-2,35","23,79","25,00","1,41B"
"25/02/2021","24,57","24,04","-2,35","23,79","25,00","1,41B"
"24/02/2021","24,91","24,62","-0,88","24,18","25,08","914,75M"
"24/02/2021","24,91","24,62","-0,88","24,18","25,08","914,75M"
"23/02/2021","24,28","24,84","2,52","23,83","25,06","1,07B"
"23/02/2021","24,28","24,84","2,52","23,83","25,06","1,07B"
"22/02/2021","24,21","24,23","-2,77","23,93","24,47","978,96M"
"22/02/2021","24,21","24,23","-2,77","23,93","24,47","978,96M"
"19/02/2021","24,90","24,92","-0,40","24,17","25,37","956,93M"
"19/02/2021","24,90","24,92","-0,40","24,17","25,37","956,93M"
"18/02/2021","25,48","25,02","-1,80","24,78","25,57","565,90M"
"18/02/2021","25,48","25,02","-1,80","24,78","25,57","565,90M"
"17/02/2021","25,70","25,48","-1,58","25,44","26,19","638,27M"
"17/02/2021","25,70","25,48","-1,58","25,44","26,19","638,27M"
"12/02/2021","25,50","25,89","1,01","25,33","25,96","388,90M"
"12/02/2021","25,50","25,89","1,01","25,33","25,96","388,90M"
"11/02/2021","25,48","25,63","1,38","25,39","25,93","528,48M"
"11/02/2021","25,48","25,63","1,38","25,39","25,93","528,48M"
"10/02/2021","26,08","25,28","-3,58","25,09","26,10","1,02B"
"10/02/2021","26,08","25,28","-3,58","25,09","26,10","1,02B"
"09/02/2021","26,14","26,22","0,31","25,88","26,43","505,13M"
"09/02/2021","26,14","26,22","0,31","25,88","26,43","505,13M"
"08/02/2021","25,83","26,14","1,20","25,50","26,38","672,59M"
"08/02/2021","25,83","26,14","1,20","25,50","26,38","672,59M"
"05/02/2021","25,36","25,83","2,13","25,36","26,07","642,14M"
"05/02/2021","25,36","25,83","2,13","25,36","26,07","642,14M"
"04/02/2021","25,62","25,29","-1,33","25,14","26,18","503,06M"
"04/02/2021","25,62","25,29","-1,33","25,14","26,18","503,06M"
"03/02/2021","25,42","25,63","1,38","25,02","25,75","532,80M"
"03/02/2021","25,42","25,63","1,38","25,02","25,75","532,80M"
"02/02/2021","25,28","25,28","1,48","25,18","25,71","701,16M"
"02/02/2021","25,28","25,28","1,48","25,18","25,71","701,16M"
"01/02/2021","25,66","24,91","-1,35","24,73","25,72","733,71M"
"01/02/2021","25,66","24,91","-1,35","24,73","25,72","733,71M"
"29/01/2021","25,72","25,25","-3,51","25,01","26,06","921,63M"
"29/01/2021","25,72","25,25","-3,51","25,01","26,06","921,63M"
"28/01/2021","25,85","26,17","1,55","25,37","26,48","853,11M"
"28/01/2021","25,85","26,17","1,55","25,37","26,48","853,11M"
"27/01/2021","25,70","25,77","0,16","25,33","26,37","1,16B"
"27/01/2021","25,70","25,77","0,16","25,33","26,37","1,16B"
"26/01/2021","26,23","25,73","-0,92","25,65","27,04","1,17B"
"26/01/2021","26,23","25,73","-0,92","25,65","27,04","1,17B"
"22/01/2021","25,11","25,97","1,96","25,08","26,28","1,11B"
"22/01/2021","25,11","25,97","1,96","25,08","26,28","1,11B"
"21/01/2021","25,38","25,47","0,28","24,83","25,63","836,90M"
"21/01/2021","25,38","25,47","0,28","24,83","25,63","836,90M"
"20/01/2021","24,16","25,40","5,56","24,10","25,51","1,21B"
"20/01/2021","24,16","25,40","5,56","24,10","25,51","1,21B"
"19/01/2021","24,52","24,06","-1,51","23,80","24,93","508,81M"
"19/01/2021","24,52","24,06","-1,51","23,80","24,93","508,81M"
"18/01/2021","24,03","24,43","2,04","23,89","24,63","592,11M"
"18/01/2021","24,03","24,43","2,04","23,89","24,63","592,11M"
"15/01/2021","23,40","23,94","0,97","23,33","24,09","775,96M"
"15/01/2021","23,40","23,94","0,97","23,33","24,09","775,96M"
"14/01/2021","24,13","23,71","-1,21","23,48","24,14","605,37M"
"14/01/2021","24,13","23,71","-1,21","23,48","24,14","605,37M"
"13/01/2021","24,18","24,00","-0,74","23,53","24,18","611,51M"
"13/01/2021","24,18","24,00","-0,74","23,53","24,18","611,51M"
"12/01/2021","23,58","24,18","3,02","23,23","24,30","837,55M"
"12/01/2021","23,58","24,18","3,02","23,23","24,30","837,55M"
"11/01/2021","23,48","23,47","-1,47","23,31","23,83","626,24M"
"11/01/2021","23,48","23,47","-1,47","23,31","23,83","626,24M"
"08/01/2021","23,17","23,82","2,94","23,00","24,28","1,05B"
"08/01/2021","23,17","23,82","2,94","23,00","24,28","1,05B"
"07/01/2021","23,62","23,14","-1,19","22,93","23,83","980,39M"
"07/01/2021","23,62","23,14","-1,19","22,93","23,83","980,39M"
"06/01/2021","24,63","23,42","-5,33","23,40","24,64","1,24B"
"06/01/2021","24,63","23,42","-5,33","23,40","24,64","1,24B"
"05/01/2021","25,08","24,74","-1,75","24,32","25,16","628,65M"
"05/01/2021","25,08","24,74","-1,75","24,32","25,16","628,65M"
"04/01/2021","25,24","25,18","1,00","24,85","25,56","647,94M"
"04/01/2021","25,24","25,18","1,00","24,85","25,56","647,94M"
"30/12/2020","25,35","24,93","-1,19","24,93","25,64","483,86M"
"30/12/2020","25,35","24,93","-1,19","24,93","25,64","483,86M"
"29/12/2020","25,18","25,23","0,12","24,97","25,51","449,16M"
"29/12/2020","25,18","25,23","0,12","24,97","25,51","449,16M"
"28/12/2020","24,73","25,20","1,12","24,35","25,28","573,76M"
"28/12/2020","24,73","25,20","1,12","24,35","25,28","573,76M"
"23/12/2020","25,20","24,92","-0,75","24,92","25,58","518,42M"
"23/12/2020","25,20","24,92","-0,75","24,92","25,58","518,42M"
"22/12/2020","25,24","25,11","0,52","24,80","25,37","604,22M"
"22/12/2020","25,24","25,11","0,52","24,80","25,37","604,22M"
"21/12/2020","23,88","24,98","2,08","23,56","25,33","1,29B"
"21/12/2020","23,88","24,98","2,08","23,56","25,33","1,29B"
"18/12/2020","24,43","24,47","-0,08","24,05","24,58","754,09M"
"18/12/2020","24,43","24,47","-0,08","24,05","24,58","754,09M"
"17/12/2020","24,81","24,49","-1,68","24,31","25,06","576,54M"
"17/12/2020","24,81","24,49","-1,68","24,31","25,06","576,54M"
"16/12/2020","24,45","24,91","1,42","24,12","24,92","1,02B"
"16/12/2020","24,45","24,91","1,42","24,12","24,92","1,02B"
"15/12/2020","24,11","24,56","2,33","23,59","24,77","963,00M"
"15/12/2020","24,11","24,56","2,33","23,59","24,77","963,00M"
"14/12/2020","22,95","24,00","4,61","22,82","24,17","1,02B"
"14/12/2020","22,95","24,00","4,61","22,82","24,17","1,02B"
"11/12/2020","23,04","22,94","-1,75","22,67","23,48","877,14M"
"11/12/2020","23,04","22,94","-1,75","22,67","23,48","877,14M"
"10/12/2020","24,05","23,35","-2,42","23,12","24,11","787,70M"
"10/12/2020","24,05","23,35","-2,42","23,12","24,11","787,70M"
"09/12/2020","24,90","23,93","-3,89","23,76","25,01","993,45M"
"09/12/2020","24,90","23,93","-3,89","23,76","25,01","993,45M"
"08/12/2020","23,68","24,90","4,83","23,56","24,90","1,03B"
"08/12/2020","23,68","24,90","4,83","23,56","24,90","1,03B"
"07/12/2020","23,61","23,75","0,59","23,38","24,22","587,32M"
"07/12/2020","23,61","23,75","0,59","23,38","24,22","587,32M"
"04/12/2020","23,37","23,61","1,55","23,12","23,80","535,22M"
"04/12/2020","23,37","23,61","1,55","23,12","23,80","535,22M"
"03/12/2020","23,03","23,25","1,08","22,88","23,55","769,91M"
"03/12/2020","23,03","23,25","1,08","22,88","23,55","769,91M"
"02/12/2020","22,83","23,00","0,74","22,70","23,12","586,30M"
"02/12/2020","22,83","23,00","0,74","22,70","23,12","586,30M"
"01/12/2020","23,60","22,83","-2,14","22,55","23,72","1,13B"
"01/12/2020","23,60","22,83","-2,14","22,55","23,72","1,13B"
"30/11/2020","24,15","23,33","-3,35","23,17","24,64","1,59B"
"30/11/2020","24,15","23,33","-3,35","23,17","24,64","1,59B"
"27/11/2020","24,27","24,14","-0,25","23,87","24,50","871,70M"
"27/11/2020","24,27","24,14","-0,25","23,87","24,50","871,70M"
"26/11/2020","23,85","24,20","1,04","23,77","24,25","557,84M"
"26/11/2020","23,85","24,20","1,04","23,77","24,25","557,84M"
"25/11/2020","23,62","23,95","1,27","23,47","24,26","930,72M"
"25/11/2020","23,62","23,95","1,27","23,47","24,26","930,72M"
"24/11/2020","23,32","23,65","1,20","22,85","23,92","1,34B"
"24/11/2020","23,32","23,65","1,20","22,85","23,92","1,34B"
"23/11/2020","24,25","23,37","-3,22","23,17","24,32","1,40B"
"23/11/2020","24,25","23,37","-3,22","23,17","24,32","1,40B"
"20/11/2020","24,89","24,15","-1,79","23,96","24,90","951,74M"
"20/11/2020","24,89","24,15","-1,79","23,96","24,90","951,74M"
"19/11/2020","24,48","24,59","0,41","23,77","24,67","1,21B"
"19/11/2020","24,48","24,59","0,41","23,77","24,67","1,21B"
"18/11/2020","24,65","24,49","-0,77","24,02","24,68","766,32M"
"18/11/2020","24,65","24,49","-0,77","24,02","24,68","766,32M"
"17/11/2020","24,70","24,68","-0,48","24,48","25,22","792,07M"
"17/11/2020","24,70","24,68","-0,48","24,48","25,22","792,07M"
"16/11/2020","25,25","24,80","-1,00","24,22","25,34","1,02B"
"16/11/2020","25,25","24,80","-1,00","24,22","25,34","1,02B"
"13/11/2020","25,71","25,05","-1,49","24,81","25,73","890,29M"
"13/11/2020","25,71","25,05","-1,49","24,81","25,73","890,29M"
"12/11/2020","25,48","25,43","-0,39","24,86","25,90","859,14M"
"12/11/2020","25,48","25,43","-0,39","24,86","25,90","859,14M"
"11/11/2020","25,35","25,53","1,43","25,23","26,15","1,31B"
"11/11/2020","25,35","25,53","1,43","25,23","26,15","1,31B"
"10/11/2020","25,95","25,17","-4,65","25,13","27,06","2,05B"
